"sid","instance","group","apical_class","rho_out","far_index","near40","near100"
"AO_0h_sl6A_sec1a",1,"0h","basolateral_out",0.485714285714286,1.09282347100669,0.254605381513425,0.270453713038389
"AO_0h_sl6A_sec2a",1,"0h","mixed",0.607142857142857,0.955664087038622,0.254435078283112,0.239620091954443
"AO_0h_sl6A_sec2a",2,"0h","basolateral_out",-0.357142857142857,0.717118793296766,0.272011314916039,0.244839615788068
"AO_0h_sl6A_sec2a",4,"0h","basolateral_out",0.2,0.337076685410172,0.219826148804923,0.238194317762381
"AO_0h_sl6A_sec3a",1,"0h","basolateral_out",0.942857142857143,1.04607692108872,0.17262891586387,0.19332799355208
"AO_0h_sl6A_sec3b",2,"0h","basolateral_out",0.5,1.26722140718719,0.211255080534328,0.217974354231933
"AO_0h_sl6A_sec5a",6,"0h","mixed",-0.107142857142857,1.32787360442424,0.258077478144899,0.27378249620628
"AO_0h_sl6A_sec5b",1,"0h","mixed",-0.142857142857143,0.791574971267156,0.281223391184666,0.252374854827975
"AO_0h_sl6A_sec5b",6,"0h","mixed",-0.142857142857143,1.43138223358584,0.204059402130783,0.206413537012429
"AO_0h_sl6A_sec6a",1,"0h","mixed",0.371428571428571,1.4037686745673,0.194000385694551,0.211028760741262
"AO_20h_sl4A_sec1a",1,"20h","basolateral_out",0.828571428571429,1.7727291781029,0.17710317691872,0.188433580133556
"AO_20h_sl4A_sec1a",10,"20h","apical_out",-0.3,0.396184282900786,0.201860882596269,0.215454194750015
"AO_20h_sl4A_sec1a",16,"20h","apical_out",-0.714285714285714,0.301502393004061,0.262414404524329,0.252134933463912
"AO_20h_sl4A_sec1a",17,"20h","apical_out",-0.2,0.442796558120799,0.271262215175287,0.280838812590165
"AO_20h_sl4A_sec2a",5,"20h","apical_out",-0.5,NA,0.388665079879669,0.402544198521231
"AO_20h_sl4A_sec2b",1,"20h","apical_out",-0.314285714285714,0.687248150631483,0.274174632654739,0.256904006549891
"AO_20h_sl4A_sec2b",2,"20h","apical_out",-0.2,0.551523982036268,0.262654538529753,0.238425450725523
"AO_20h_sl4A_sec3a",4,"20h","apical_out",-1,0.546739436458888,0.367144396274231,0.347756807334769
"AO_20h_sl4A_sec3a",6,"20h","apical_out",-0.371428571428571,0.304677770962934,0.340619975303936,0.32188604274373
"AO_20h_sl4A_sec3b",2,"20h","apical_out",-0.75,0.337882169364287,0.480976251125172,0.444053856248617
"AO_20h_sl4A_sec3b",5,"20h","apical_out",-0.142857142857143,0.117412241382657,0.314412028949006,0.3142463421594
"AO_20h_sl4A_sec3b",6,"20h","apical_out",0.4,0.230718317264074,0.463585411082247,0.43946039678731
"AO_20h_sl4A_sec4a",1,"20h","basolateral_out",0.571428571428571,1.52024971412062,0.169864397030042,0.15248959794457
"AO_20h_sl4A_sec5b",3,"20h","mixed",0.714285714285714,0.985310150667341,0.261136770298694,0.253842359270883
