"sid","instance","apical_class"
"AO_0h_sl6A_sec1a","1","basolateral_out"
"AO_0h_sl6A_sec1a","2","mixed"
"AO_0h_sl6A_sec1b","1","basolateral_out"
"AO_0h_sl6A_sec2a","1","mixed"
"AO_0h_sl6A_sec2a","2","basolateral_out"
"AO_0h_sl6A_sec2a","3","apical_out"
"AO_0h_sl6A_sec2a","4","basolateral_out"
"AO_0h_sl6A_sec2a","6","basolateral_out"
"AO_0h_sl6A_sec2a","7","apical_out"
"AO_0h_sl6A_sec2a","8","apical_out"
"AO_0h_sl6A_sec3a","1","basolateral_out"
"AO_0h_sl6A_sec3a","2","mixed"
"AO_0h_sl6A_sec3a","3","basolateral_out"
"AO_0h_sl6A_sec3a","5","apical_out"
"AO_0h_sl6A_sec3b","1","basolateral_out"
"AO_0h_sl6A_sec3b","2","basolateral_out"
"AO_0h_sl6A_sec4a","1","basolateral_out"
"AO_0h_sl6A_sec4a","2","mixed"
"AO_0h_sl6A_sec4a","3","basolateral_out"
"AO_0h_sl6A_sec4b","1","mixed"
"AO_0h_sl6A_sec4b","2","basolateral_out"
"AO_0h_sl6A_sec4b","3","mixed"
"AO_0h_sl6A_sec4b","4","basolateral_out"
"AO_0h_sl6A_sec4b","5","basolateral_out"
"AO_0h_sl6A_sec4b","6","basolateral_out"
"AO_0h_sl6A_sec4b","7","basolateral_out"
"AO_0h_sl6A_sec5a","3","basolateral_out"
"AO_0h_sl6A_sec5a","4","apical_out"
"AO_0h_sl6A_sec5a","5","apical_out"
"AO_0h_sl6A_sec5a","6","mixed"
"AO_0h_sl6A_sec5a","7","apical_out"
"AO_0h_sl6A_sec5b","1","mixed"
"AO_0h_sl6A_sec5b","2","mixed"
"AO_0h_sl6A_sec5b","4","mixed"
"AO_0h_sl6A_sec5b","6","mixed"
"AO_0h_sl6A_sec5b","7","mixed"
"AO_0h_sl6A_sec5b","9","mixed"
"AO_0h_sl6A_sec6a","1","mixed"
"AO_0h_sl6A_sec6a","3","basolateral_out"
"AO_0h_sl6A_sec6a","4","basolateral_out"
"AO_0h_sl6A_sec6a","5","mixed"
"AO_0h_sl6A_sec6a","6","mixed"
"AO_20h_sl4A_sec1a","1","basolateral_out"
"AO_20h_sl4A_sec1a","2","mixed"
"AO_20h_sl4A_sec1a","3","apical_out"
"AO_20h_sl4A_sec1a","4","apical_out"
"AO_20h_sl4A_sec1a","5","mixed"
"AO_20h_sl4A_sec1a","6","apical_out"
"AO_20h_sl4A_sec1a","8","mixed"
"AO_20h_sl4A_sec1a","10","apical_out"
"AO_20h_sl4A_sec1a","12","apical_out"
"AO_20h_sl4A_sec1a","13","basolateral_out"
"AO_20h_sl4A_sec1a","16","apical_out"
"AO_20h_sl4A_sec1a","17","apical_out"
"AO_20h_sl4A_sec1b","1","mixed"
"AO_20h_sl4A_sec2a","1","apical_out"
"AO_20h_sl4A_sec2a","2","apical_out"
"AO_20h_sl4A_sec2a","5","apical_out"
"AO_20h_sl4A_sec2b","1","apical_out"
"AO_20h_sl4A_sec2b","2","apical_out"
"AO_20h_sl4A_sec2b","5","mixed"
"AO_20h_sl4A_sec2b","6","mixed"
"AO_20h_sl4A_sec2b","7","apical_out"
"AO_20h_sl4A_sec2b","8","mixed"
"AO_20h_sl4A_sec3a","1","mixed"
"AO_20h_sl4A_sec3a","4","apical_out"
"AO_20h_sl4A_sec3a","5","apical_out"
"AO_20h_sl4A_sec3a","6","apical_out"
"AO_20h_sl4A_sec3a","7","mixed"
"AO_20h_sl4A_sec3a","8","apical_out"
"AO_20h_sl4A_sec3b","1","mixed"
"AO_20h_sl4A_sec3b","2","apical_out"
"AO_20h_sl4A_sec3b","3","apical_out"
"AO_20h_sl4A_sec3b","4","mixed"
"AO_20h_sl4A_sec3b","5","apical_out"
"AO_20h_sl4A_sec3b","6","apical_out"
"AO_20h_sl4A_sec4a","1","basolateral_out"
"AO_20h_sl4A_sec4a","2","mixed"
"AO_20h_sl4A_sec4b","1","basolateral_out"
"AO_20h_sl4A_sec5b","2","mixed"
"AO_20h_sl4A_sec5b","3","mixed"
"AO_20h_sl4A_sec5b","4","apical_out"
"AO_20h_sl4A_sec5b","5","apical_out"
"AO_20h_sl4A_sec5b","7","mixed"
