"page","sid","instance","contents","apical_class","match_mode","dist_pt","action"
2,"AO_0h_sl6A_sec1a",NA,"in",NA,NA,NA,"no-match-within-radius"
2,"AO_0h_sl6A_sec1a",NA,"mixed",NA,NA,NA,"no-match-within-radius"
3,"AO_0h_sl6A_sec1b",NA,"out",NA,NA,NA,"no-match-within-radius"
4,"AO_0h_sl6A_sec2a",NA,"out",NA,NA,NA,"no-match-within-radius"
4,"AO_0h_sl6A_sec2a",NA,"in",NA,NA,NA,"no-match-within-radius"
4,"AO_0h_sl6A_sec2a",NA,"in",NA,NA,NA,"no-match-within-radius"
4,"AO_0h_sl6A_sec2a",8,"out","apical_out","by-nearest",24.6,"accept"
4,"AO_0h_sl6A_sec2a",NA,"out",NA,NA,NA,"no-match-within-radius"
4,"AO_0h_sl6A_sec2a",7,"out","apical_out","by-nearest",20.4,"accept"
4,"AO_0h_sl6A_sec2a",NA,"mixed",NA,NA,NA,"no-match-within-radius"
4,"AO_0h_sl6A_sec2a",NA,"out",NA,NA,NA,"no-match-within-radius"
5,"AO_0h_sl6A_sec3a",NA,"in",NA,NA,NA,"no-match-within-radius"
5,"AO_0h_sl6A_sec3a",NA,"out",NA,NA,NA,"no-match-within-radius"
5,"AO_0h_sl6A_sec3a",NA,"out",NA,NA,NA,"no-match-within-radius"
5,"AO_0h_sl6A_sec3a",NA,"mixed",NA,NA,NA,"no-match-within-radius"
6,"AO_0h_sl6A_sec3b",NA,"in",NA,NA,NA,"no-match-within-radius"
6,"AO_0h_sl6A_sec3b",NA,"in",NA,NA,NA,"no-match-within-radius"
7,"AO_0h_sl6A_sec4a",NA,"in",NA,NA,NA,"no-match-within-radius"
7,"AO_0h_sl6A_sec4a",NA,"mixed",NA,NA,NA,"no-match-within-radius"
7,"AO_0h_sl6A_sec4a",NA,"mixed",NA,NA,NA,"no-match-within-radius"
8,"AO_0h_sl6A_sec4b",7,"out","apical_out","by-nearest",13.1,"accept"
8,"AO_0h_sl6A_sec4b",NA,"mixed",NA,NA,NA,"no-match-within-radius"
8,"AO_0h_sl6A_sec4b",NA,"mixed",NA,NA,NA,"no-match-within-radius"
8,"AO_0h_sl6A_sec4b",NA,"in",NA,NA,NA,"no-match-within-radius"
8,"AO_0h_sl6A_sec4b",3,"mixed","mixed","by-nearest",18.8,"accept"
8,"AO_0h_sl6A_sec4b",2,"mixed","mixed","by-nearest",15.8,"accept"
8,"AO_0h_sl6A_sec4b",6,"in","basolateral_out","by-nearest",19.6,"accept"
9,"AO_0h_sl6A_sec5a",NA,"out",NA,NA,NA,"no-match-within-radius"
9,"AO_0h_sl6A_sec5a",NA,"out",NA,NA,NA,"no-match-within-radius"
9,"AO_0h_sl6A_sec5a",NA,"mixed",NA,NA,NA,"no-match-within-radius"
9,"AO_0h_sl6A_sec5a",NA,"out",NA,NA,NA,"no-match-within-radius"
9,"AO_0h_sl6A_sec5a",NA,"in",NA,NA,NA,"no-match-within-radius"
9,"AO_0h_sl6A_sec5a",1,"out","apical_out","by-nearest",23.3,"accept"
10,"AO_0h_sl6A_sec5b",NA,"mixed",NA,NA,NA,"no-match-within-radius"
10,"AO_0h_sl6A_sec5b",9,"out","apical_out","by-nearest",18.7,"accept"
10,"AO_0h_sl6A_sec5b",2,"out","apical_out","by-nearest",13.3,"accept"
10,"AO_0h_sl6A_sec5b",NA,"out",NA,NA,NA,"no-match-within-radius"
10,"AO_0h_sl6A_sec5b",7,"out","apical_out","by-nearest",14.4,"accept"
10,"AO_0h_sl6A_sec5b",NA,"mixed",NA,NA,NA,"no-match-within-radius"
11,"AO_0h_sl6A_sec6a",NA,"mixed",NA,NA,NA,"no-match-within-radius"
11,"AO_0h_sl6A_sec6a",NA,"mixed",NA,NA,NA,"no-match-within-radius"
11,"AO_0h_sl6A_sec6a",NA,"out",NA,NA,NA,"no-match-within-radius"
11,"AO_0h_sl6A_sec6a",NA,"in",NA,NA,NA,"no-match-within-radius"
11,"AO_0h_sl6A_sec6a",NA,"out",NA,NA,NA,"no-match-within-radius"
12,"AO_20h_sl4A_sec1a",NA,"in",NA,NA,NA,"no-match-within-radius"
12,"AO_20h_sl4A_sec1a",NA,"in",NA,NA,NA,"no-match-within-radius"
12,"AO_20h_sl4A_sec1a",10,"out","apical_out","by-nearest",22.7,"accept"
12,"AO_20h_sl4A_sec1a",3,"out","apical_out","by-nearest",22.8,"accept"
12,"AO_20h_sl4A_sec1a",12,"out","apical_out","by-nearest",13.2,"accept"
12,"AO_20h_sl4A_sec1a",NA,"out",NA,NA,NA,"no-match-within-radius"
12,"AO_20h_sl4A_sec1a",NA,"out",NA,NA,NA,"no-match-within-radius"
12,"AO_20h_sl4A_sec1a",NA,"in",NA,NA,NA,"no-match-within-radius"
12,"AO_20h_sl4A_sec1a",NA,"out",NA,NA,NA,"no-match-within-radius"
12,"AO_20h_sl4A_sec1a",NA,"mixed",NA,NA,NA,"no-match-within-radius"
12,"AO_20h_sl4A_sec1a",8,"in","basolateral_out","by-nearest",18.2,"accept"
13,"AO_20h_sl4A_sec1b",NA,"in",NA,NA,NA,"no-match-within-radius"
14,"AO_20h_sl4A_sec2a",NA,"mixed",NA,NA,NA,"no-match-within-radius"
14,"AO_20h_sl4A_sec2a",NA,"out",NA,NA,NA,"no-match-within-radius"
14,"AO_20h_sl4A_sec2a",2,"out","apical_out","by-nearest",23.5,"accept"
14,"AO_20h_sl4A_sec2a",NA,"mixed",NA,NA,NA,"no-match-within-radius"
15,"AO_20h_sl4A_sec2b",NA,"out",NA,NA,NA,"no-match-within-radius"
15,"AO_20h_sl4A_sec2b",NA,"out",NA,NA,NA,"no-match-within-radius"
15,"AO_20h_sl4A_sec2b",5,"out","apical_out","by-nearest",23.3,"accept"
15,"AO_20h_sl4A_sec2b",7,"out","apical_out","by-nearest",11.2,"accept"
15,"AO_20h_sl4A_sec2b",NA,"out",NA,NA,NA,"no-match-within-radius"
15,"AO_20h_sl4A_sec2b",NA,"in",NA,NA,NA,"no-match-within-radius"
15,"AO_20h_sl4A_sec2b",NA,"mixed",NA,NA,NA,"no-match-within-radius"
16,"AO_20h_sl4A_sec3a",5,"out","apical_out","by-nearest",15.3,"accept"
16,"AO_20h_sl4A_sec3a",NA,"in",NA,NA,NA,"no-match-within-radius"
16,"AO_20h_sl4A_sec3a",NA,"mixed",NA,NA,NA,"no-match-within-radius"
16,"AO_20h_sl4A_sec3a",6,"out","apical_out","by-nearest",19.6,"accept"
16,"AO_20h_sl4A_sec3a",3,"mixed","mixed","by-nearest",24.8,"accept"
16,"AO_20h_sl4A_sec3a",2,"mixed","mixed","by-nearest",11,"accept"
16,"AO_20h_sl4A_sec3a",NA,"out",NA,NA,NA,"no-match-within-radius"
16,"AO_20h_sl4A_sec3a",NA,"out",NA,NA,NA,"no-match-within-radius"
17,"AO_20h_sl4A_sec3b",NA,"in",NA,NA,NA,"no-match-within-radius"
17,"AO_20h_sl4A_sec3b",NA,"mixed",NA,NA,NA,"no-match-within-radius"
17,"AO_20h_sl4A_sec3b",NA,"out",NA,NA,NA,"no-match-within-radius"
17,"AO_20h_sl4A_sec3b",5,"out","apical_out","by-nearest",13.8,"accept"
17,"AO_20h_sl4A_sec3b",NA,"out",NA,NA,NA,"no-match-within-radius"
17,"AO_20h_sl4A_sec3b",NA,"mixed",NA,NA,NA,"no-match-within-radius"
18,"AO_20h_sl4A_sec4a",NA,"in",NA,NA,NA,"no-match-within-radius"
18,"AO_20h_sl4A_sec4a",NA,"in",NA,NA,NA,"no-match-within-radius"
19,"AO_20h_sl4A_sec4b",NA,"in",NA,NA,NA,"no-match-within-radius"
20,"AO_20h_sl4A_sec5a",NA,"in",NA,NA,NA,"no-match-within-radius"
21,"AO_20h_sl4A_sec5b",NA,"mixed",NA,NA,NA,"no-match-within-radius"
21,"AO_20h_sl4A_sec5b",7,"out","apical_out","by-nearest",15.3,"accept"
21,"AO_20h_sl4A_sec5b",5,"out","apical_out","by-nearest",18,"accept"
21,"AO_20h_sl4A_sec5b",4,"out","apical_out","by-nearest",23.1,"accept"
21,"AO_20h_sl4A_sec5b",NA,"mixed",NA,NA,NA,"no-match-within-radius"
