"sid","group","n_strokes","n_before","n_after","split_ids","pieces"
"AO_0h_sl6A_sec1a","0h",1,3,4,"2","2"
"AO_0h_sl6A_sec2a","0h",8,4,9,"1;2;3;4","2;2;3;2"
"AO_0h_sl6A_sec3a","0h",1,4,5,"1","2"
"AO_0h_sl6A_sec4a","0h",2,1,3,"1","3"
"AO_0h_sl6A_sec4b","0h",1,7,8,"5","2"
"AO_0h_sl6A_sec5a","0h",1,6,7,"4","2"
"AO_0h_sl6A_sec5b","0h",3,6,9,"1;4;6","2;2;2"
"AO_0h_sl6A_sec6a","0h",1,5,6,"4","2"
"AO_20h_sl4A_sec1a","20h",9,7,16,"1;2;4;5","2;6;3;2"
"AO_20h_sl4A_sec2a","20h",5,1,5,"1","5"
"AO_20h_sl4A_sec2b","20h",1,9,10,"6","2"
"AO_20h_sl4A_sec3a","20h",3,5,8,"1;4","2;3"
"AO_20h_sl4A_sec3b","20h",5,3,6,"1;2","2;3"
"AO_20h_sl4A_sec5b","20h",4,3,7,"1;3","3;3"
