"dataset","slide","if_section","if_registered"
"AO_0h_sl6A_sec1a","sl6A","AO_0h_sl6b_sec2",TRUE
"AO_0h_sl6A_sec1b","sl6A","AO_0h_sl6b_sec2",TRUE
"AO_0h_sl6A_sec2a","sl6A","AO_0h_sl6b_sec1",TRUE
"AO_0h_sl6A_sec3a","sl6A","AO_0h_sl6b_sec4",TRUE
"AO_0h_sl6A_sec3b","sl6A","AO_0h_sl6b_sec4",TRUE
"AO_0h_sl6A_sec4a","sl6A","AO_0h_sl6b_sec3",TRUE
"AO_0h_sl6A_sec4b","sl6A","AO_0h_sl6b_sec3",TRUE
"AO_0h_sl6A_sec5a","sl6A","AO_0h_sl6b_sec6",TRUE
"AO_0h_sl6A_sec5b","sl6A","AO_0h_sl6b_sec6",TRUE
"AO_0h_sl6A_sec6a","sl6A","AO_0h_sl6b_sec5",TRUE
"AO_20h_sl4A_sec1a","sl4A","AO_20h_sl4b_sec2",TRUE
"AO_20h_sl4A_sec1b","sl4A","AO_20h_sl4b_sec2",TRUE
"AO_20h_sl4A_sec2a","sl4A","AO_20h_sl4b_sec1",FALSE
"AO_20h_sl4A_sec2b","sl4A","AO_20h_sl4b_sec1",FALSE
"AO_20h_sl4A_sec3a","sl4A","AO_20h_sl4b_sec4",TRUE
"AO_20h_sl4A_sec3b","sl4A","AO_20h_sl4b_sec4",TRUE
"AO_20h_sl4A_sec4a","sl4A","AO_20h_sl4b_sec3",TRUE
"AO_20h_sl4A_sec4b","sl4A","AO_20h_sl4b_sec3",TRUE
"AO_20h_sl4A_sec5a","sl4A","AO_20h_sl4b_sec6",TRUE
"AO_20h_sl4A_sec5b","sl4A","AO_20h_sl4b_sec6",TRUE
