page,number,ptx,pty
1,1,168.89,272.0
1,1,995.16,307.46
1,2,421.77,541.67
1,2,1166.85,536.54
1,3,381.64,408.7
1,3,1145.86,436.23
1,4,303.73,258.47
1,4,1094.07,306.53
1,5,577.59,544.0
1,5,1279.76,551.93
1,6,121.77,442.29
1,6,944.77,445.09
2,1,269.67,148.83
2,1,1036.22,181.96
2,2,537.0,573.4
2,2,1241.5,571.06
2,3,454.89,474.95
2,3,1207.91,486.62
2,4,255.67,502.48
2,4,1014.29,487.08
2,5,345.72,151.63
2,5,1103.87,184.76
2,6,399.37,344.32
2,6,1157.06,356.45
3,1,277.6,183.36
3,1,1021.75,222.08
3,2,518.34,283.2
3,2,1272.29,327.05
3,3,602.32,385.37
3,3,1307.75,399.37
3,4,351.32,665.77
3,4,1082.87,574.33
3,5,309.79,511.81
3,5,1044.62,405.44
3,6,413.37,199.68
3,6,1181.78,260.34
5,1,530.47,623.32
5,1,1217.71,526.74
5,2,418.5,683.5
5,2,1128.6,583.19
5,3,571.53,456.29
5,3,1263.9,415.23
5,4,174.02,241.21
5,4,1018.49,188.96
5,5,419.43,180.56
5,5,1199.98,181.49
6,1,332.19,461.42
6,1,1158.46,457.69
6,2,373.71,432.96
6,2,1186.92,433.9
6,3,417.57,444.16
6,3,1213.04,435.3
6,4,616.78,265.94
6,4,1346.94,259.87
6,5,105.91,248.21
6,5,905.58,268.27
6,6,192.69,643.38
6,6,1013.82,636.85
6,7,234.21,591.59
6,7,1054.88,577.59
7,1,400.3,439.49
7,1,1113.2,446.96
7,2,245.41,383.98
7,2,978.83,394.7
7,3,624.25,263.6
7,3,1236.84,272.47
7,4,398.9,507.61
7,4,1115.53,507.61
7,5,247.74,599.06
7,5,1022.69,619.12
8,1,233.74,604.19
8,1,993.76,581.33
8,2,413.83,145.1
8,2,1131.86,189.89
8,3,188.96,435.76
8,3,962.04,425.03
8,4,412.43,464.69
8,4,1117.86,500.15
8,5,371.84,403.57
8,5,1094.07,413.83
9,1,198.75,390.97
9,1,975.1,352.71
9,2,368.11,391.91
9,2,1090.8,373.24
9,3,381.64,365.78
9,3,1101.54,353.18
9,4,316.79,319.12
9,4,1061.41,310.26
9,5,593.92,183.82
9,5,1319.42,232.81
9,6,414.77,490.82
9,6,1129.53,453.49
9,7,160.49,581.33
9,7,945.71,495.95
9,8,237.48,594.39
9,8,997.96,518.81
10,1,506.21,301.39
10,1,1216.77,351.78
10,2,592.06,300.46
10,2,1293.29,352.25
10,3,172.62,609.32
10,3,929.84,601.86
10,4,442.29,406.37
10,4,1159.85,422.23
10,5,265.47,358.78
10,5,990.03,375.11
10,6,345.25,204.35
10,6,1094.07,246.34
11,1,427.36,285.53
11,1,1175.72,316.32
11,2,274.8,261.27
11,2,1027.82,302.33
11,3,244.48,338.72
11,3,996.56,375.11
11,4,138.57,546.8
11,4,895.32,562.2
11,5,216.95,558.0
11,5,984.43,575.73
11,6,480.08,340.58
11,6,1219.11,366.24
