page,ax0,ay0,ax1,ay1
0,309.46,65.32,347.34,100.35
0,296.95,223.35,352.72,267.48
0,290.34,397.57,351.34,441.7
0,404.15,401.28,465.15,445.41
0,402.41,231.76,458.17,275.88
0,434.99,72.88,472.86,107.92
0,403.14,562.41,455.05,597.45
0,282.45,553.68,334.36,588.72
0,443.79,725.39,486.64,760.43
0,325.37,708.81,368.23,743.85
0,391.28,896.37,437.39,967.77
0,277.05,882.77,323.16,954.17
1,443.21,939.5,474.7,965.59
1,392.26,42.77,438.36,99.34
1,277.71,35.86,323.82,92.43
1,410.92,210.34,444.76,242.83
1,286.68,200.55,320.52,233.04
1,442.1,425.21,475.94,457.7
1,326.31,415.17,360.16,447.66
1,453.32,554.12,496.74,595.23
1,322.33,538.21,365.75,579.32
1,325.24,938.15,356.73,964.25
